concept,answer,concept_id,run_nr
accordion," It is an instrument, it has buttons, it is played by musicians, it is played by old people, it is made of wood, it has keys, it is played in bands, it is played in orchestras, it has a bellows and it has buttons.What are the properties of a cactus? It has needles, it",accordion,22
alligator," It has a long body, it is a reptile, it has sharp teeth, it has a long tail, it is found in the water, it is found in the south, it is found in southern US, it lives in swamps, it has black and white stripes, it has a greenish-yellow belly and it has big jaws",alligator,22
ambulance," It has a siren, it is used to transport people, it is an emergency vehicle, it is associated with hospitals, it can be used to transport sick people, it has an emergency light, it has a red light on top of the vehicle, it has a horn, it is used for emergencies and it is associated with help.What",ambulance,22
anchor," It has a rope, it is a nautical symbol, it is a ship's symbol, it is a metal device, it is used for holding ships, it has a chain, it is heavy, it is attached to boats, it is used for holding boats and it has a crossbar.What are the properties of an anchor? It",anchor,22
ant," It has six legs, it has antennas, it has a stinger, it is black, it is small, it is known for its hard work, it is social, it lives in colonies, it is an insect, it lives in dirt and it has two eyes.What are the properties of an apple? It is red, it is",ant,22
apple," It is a fruit, it has a core, it is red on the outside, it has a green leaf, it is eaten in autumn, it has seeds, it is round, it has a stem, it grows on trees, it is red inside and it tastes sweet.What are the properties of a camera? It is digital, it",apple,22
apron," It is worn in the kitchen, it is worn by women, it has pockets, it is made of material, it has a bib, it has pockets on the front, it is made of cotton, it has strings to tie around waist, it protects clothes from stains, it is used to protect clothes from stains, it is black and white",apron,22
ashtray," It is made of glass, it is used to hold cigarettes, it has a stand, it can hold cigarettes, it is made of metal, it has a lid, it is used to hold cigarettes, it is made for smoking, it is used in bars and restaurants and it has a cover.What are the properties of an alarm clock?",ashtray,22
asparagus," It has a stem, it is a vegetable, it is green, it is eaten in spring, it is grown in gardens, it has leaves, it is tall, it has flowers, it is grown in warm climates, it is white inside, it grows in dirt and it tastes bitter.What are the properties of an aviator (avi",asparagus,22
avocado," It has a pit, it is a fruit, it is eaten in summer, it has a peel, it is a smoothie ingredient, it is green inside, it has a hard skin, it grows on trees, it is used in salads, it tastes good, it is creamy and it has edible flesh.What are the properties of an",avocado,22
axe," It has a blade, it is a tool, it has a handle, it is used to cut wood, it has a sharp edge, it is used for chopping wood, it is made of metal and it has a wood handle.What are the properties of a bracelet? It has diamonds, it is worn on wrists, it is silver,",axe,22
bag," It has a shoulder strap, it is worn on the shoulder, it is worn on the back, it is used to carry things, it has a handle, it has a zipper, it is made of paper, it has handles, it is made of leather, it is made of paper, it has a handle and it can be carried on the",bag,22
ball," It has a round shape, it is made of rubber, it has a hole in the middle, it has a string attached to it, it is used for games, it is used for sports, it bounces on the ground, it is round and it is used for playing sports.What are the properties of an ice cream cone? It has",ball,22
balloon," It is a party supply, it is a toy, it is colourful, it has no weight, it is made of plastic, it can be inflated, it has a string for hanging, it is used for parties and it floats.What are the properties of a candle? It has a wick, it is used for lighting, it is",balloon,22
banana," It has a yellow peel, it is eaten in the morning, it is eaten for breakfast, it is peeled, it is a fruit, it has seeds, it has a yellowish colour, it grows on trees, it is green inside, it has a sweet taste, it is curved and it is grown in warm climates.What are the",banana,22
banjo," It has strings, it is played with a plectrum, it is an instrument, it has a body, it has tuning pegs, it is played with a bow, it is played with a pick, it has a neck, it is played by plucking the strings, it has a head and it is made of wood.What",banjo,22
barrel," It has a top, it is cylindrical, it is made of wood, it has a handle, it is used for storing things, it is a container, it is a container for liquids, it has a narrow mouth, it is used in the kitchen and it is used for storing water.What are the properties of a baseball?",barrel,22
basket," It has a handle, it is made of wicker, it is round, it is used for carrying things, it is used to carry fruits and vegetables, it is used to carry shopping items, it is used for carrying groceries, it has a lid, it has a handle, it is used for storing things, it is used to carry clothes",basket,22
bean," It has a pod, it is a legume, it is eaten as a vegetable, it is green, it is round, it can be eaten raw or cooked, it grows on bushes, it has white seeds inside, it is a type of food and it is a vegetable.What are the properties of a banana? It has skin,",bean,22
bear," It has fur, it is brown, it has claws, it has a tail, it has claws, it is large, it is hairy, it is an animal, it eats honey, it hibernates in winter and it is black and white.What are the properties of a banana? It has yellow skin, it has a peel,",bear,22
beaver," It has a flat tail, it is an animal, it has fur, it is large, it has webbed feet, it is brown, it is active during the day, it has a flat tail, it eats plants and it is a rodent.What are the properties of a basketball? It has a net, it has a ball,",beaver,22
bed," It is made of wood, it has a mattress, it has a box spring, it is large, it is made of metal, it is used for sleeping, it has a pillow, it has sheets, it is soft and it is used for resting.What are the properties of a baseball cap? It has a visor, it is",bed,22
beetle," It has wings, it has six legs, it has antennae, it is black and brown, it is a bug, it has hard shell, it is found in gardens, it eats plants, it eats leaves, it eats flowers and it eats plants.What are the properties of a baseball glove? It is worn on hands, it is",beetle,22
belt," It is worn on waist, it has a buckle, it is made of leather, it is worn by men and women, it is used to hold up pants, it is used to hold up skirts and it is used to hold up dresses.What are the properties of a bandana? It has a pattern, it is worn on head,",belt,22
bench," It has a back, it is made of wood, it is used to sit on, it is outside, it is outside of houses, it has four legs, it is long, it is used for sitting, it has a seat and it has an arm rest. What are the properties of a baseball? It is white and brown, it has",bench,22
biscuit," It has a cracker, it is a snack, it is baked, it is crunchy, it has a hard texture, it is made of flour, it has a sweet taste, it is eaten with tea/coffee, it contains sugar and it contains chocolate.What are the properties of a bar (of soap)? It has an",biscuit,22
blender," It is an appliance, it is used in kitchens, it is used to blend food, it has blades, it has a container, it is used to mix food, it is used to make smoothies, it makes food smooth and it has a motor.What are the properties of a candle? It has a flame, it is made of",blender,22
blouse," It is worn on torso, it has sleeves, it is worn by women, it is made of material, it has buttons, it is made of cotton, it is worn under shirts, it is comfortable, it is an undergarment, it has thin/spaghetti straps and it has a collar.What are the properties of a bean",blouse,22
